_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,Latitude,Longitude
66911f17946bfa8c4787f9ee,Xadrez de madeira,brinquedos,25.23,0.0,2021-01/01,Thiago Silva,BA,5,cartao_credito,2,-13.29,-41.71
66911f17946bfa8c4787f9ef,Impressora,eletronicos,322.04,14.7321002401,2021-01/01,João Souza,SP,3,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787f9f0,Mesa de centro,moveis,282.22,12.6118050347,2021-01/01,João Souza,SP,3,boleto,1,-22.19,-48.79
66911f17946bfa8c4787f9f1,Tablet ABXY,eletronicos,1100.42,68.4513476183,2021-01/01,Beatriz Moraes,SP,1,cupom,1,-22.19,-48.79
66911f17946bfa8c4787f9f2,Fogão,eletrodomesticos,791.81,42.4446263246,2021-01/01,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
66911f17946bfa8c4787f9f3,Violão,instrumentos musicais,316.84,17.1595536296,2022-01/01,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
66911f17946bfa8c4787f9f4,Geladeira,eletrodomesticos,2322.94,121.2740057251,2022-01/01,Thiago Silva,RS,5,cartao_credito,10,-30.17,-53.5
66911f17946bfa8c4787f9f5,Secadora de roupas,eletrodomesticos,1893.04,107.1782993366,2022-01/01,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
66911f17946bfa8c4787f9f6,Jogo de copos,utilidades domesticas,37.44,2.8819825404,2022-01/01,Thiago Silva,RJ,4,cartao_credito,4,-22.25,-42.66
66911f17946bfa8c4787f9f7,Blocos de montar,brinquedos,36.84,0.0,2022-01/01,Pedro Gomes,SP,4,boleto,1,-22.19,-48.79
66911f17946bfa8c4787f9f8,Iniciando em programação,livros,63.25,3.894137208,2022-01/01,Juliana Costa,RJ,5,cartao_credito,4,-22.25,-42.66
66911f17946bfa8c4787f9f9,Fogão,eletrodomesticos,607.49,33.2354300998,2022-01/01,Juliana Costa,MG,5,cartao_credito,3,-18.1,-44.38
66911f17946bfa8c4787f9fa,Bola de vôlei,esporte e lazer,75.11,1.5838206052,2022-01/01,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787f9fb,Bateria,instrumentos musicais,1031.24,55.199204426,2023-01/01,Bruno Rodrigues,BA,5,boleto,1,-13.29,-41.71
66911f17946bfa8c4787f9fc,Boneca bebê,brinquedos,50.72,3.2317919389,2023-01/01,Isabella Pereira,SP,4,boleto,1,-22.19,-48.79
66911f17946bfa8c4787f9fd,Sofá retrátil,moveis,888.09,51.7681594786,2023-01/01,Rafael Costa,SP,4,cartao_credito,20,-22.19,-48.79
66911f17946bfa8c4787f9fe,Pandeiro,instrumentos musicais,47.05,2.7883968633,2023-01/01,Bianca Santos,RS,5,cartao_credito,6,-30.17,-53.5
66911f17946bfa8c4787f9ff,Bicicleta,esporte e lazer,836.66,45.438043164,2023-01/01,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa00,Xadrez de madeira,brinquedos,44.82,3.2749453383,2023-01/01,Bianca Santos,PR,5,cupom,1,-24.89,-51.55
66911f17946bfa8c4787fa04,Micro-ondas,eletrodomesticos,1035.84,55.6864683002,2021-02/01,Felipe Santos,SP,2,cartao_credito,6,-22.19,-48.79
66911f17946bfa8c4787fa05,Cama king,moveis,660.46,35.4506339784,2021-02/01,Juliana Costa,RJ,5,cartao_credito,3,-22.25,-42.66
66911f17946bfa8c4787fa06,Ciência de dados com python,livros,86.13,5.2731755368,2021-02/01,Camila Ribeiro,RJ,4,cartao_credito,3,-22.25,-42.66
66911f17946bfa8c4787fa07,Guitarra,instrumentos musicais,957.84,51.5283634201,2021-02/01,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa08,Ciência de dados com python,livros,72.75,1.458157705,2021-02/01,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
66911f17946bfa8c4787fa09,Cama box,moveis,819.22,43.9041263642,2021-02/01,Felipe Santos,SP,5,cartao_credito,4,-22.19,-48.79
66911f17946bfa8c4787fa0a,Headset,eletronicos,340.22,15.7001305473,2021-02/01,Thiago Silva,SP,2,cupom,1,-22.19,-48.79
66911f17946bfa8c4787fa0b,Iniciando em programação,livros,61.73,0.0,2021-02/01,Beatriz Moraes,SP,4,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa0c,Jogo de panelas,utilidades domesticas,126.59,4.3249757326,2021-02/01,Juliana Costa,RS,1,cartao_credito,3,-30.17,-53.5
66911f17946bfa8c4787fa0d,Guitarra,instrumentos musicais,1158.33,62.2086923009,2022-02/01,Bruno Rodrigues,SP,4,cartao_credito,2,-22.19,-48.79
